"Set","PhageID","Host","Bacteria","StrainLabel","Count","Dilution","VolumePlated","PFU_mL","EOP","LFW","HostSpecies","Name","Year","LifeCycle","AtEmory"
1,"30E.2.2.1","Arthrobacter globiformis​","B2880","B",26,5,3,8e+08,0.24,"N","globiformis​","EyeOfDooley",2024,"Lytic","Y"
1,"30E.2.2.1","Arthrobacter pascens​","B2884","D",0,2,3,NA,NA,"N","pascens​","EyeOfDooley",2024,"Lytic","Y"
1,"30E.2.2.1","Arthrobacter globiformis​","B24025","F",0,2,3,NA,NA,"N","globiformis​","EyeOfDooley",2024,"Lytic","Y"
1,"30E.2.2.1","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","EyeOfDooley",2024,"Lytic","Y"
1,"30E.2.2.1","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","EyeOfDooley",2024,"Lytic","Y"
1,"30E.2.2.1","Arthrobacter globiformis​","B2979","TARGET",10,6,3,3.33e+09,NA,"N","globiformis​","EyeOfDooley",2024,"Lytic","Y"
1,"32D.3.1.2.3","Arthrobacter globiformis​","B2880","B",12,3,3,4e+06,0.00144,"N","globiformis​","Aporia",2024,"Lytic","Y"
1,"32D.3.1.2.3","Arthrobacter pascens​","B2884","D",0,2,3,NA,NA,"N","pascens​","Aporia",2024,"Lytic","Y"
1,"32D.3.1.2.3","Arthrobacter globiformis​","B24025","F",0,2,3,NA,NA,"N","globiformis​","Aporia",2024,"Lytic","Y"
1,"32D.3.1.2.3","Arthrobacter oryzae​","B24478","G",47,3,3,15700000,0.00564,"N","oryzae​","Aporia",2024,"Lytic","Y"
1,"32D.3.1.2.3","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","Aporia",2024,"Lytic","Y"
1,"32D.3.1.2.3","Arthrobacter globiformis​","B2979","TARGET",8.333333333,6,3,2.78e+09,NA,"N","globiformis​","Aporia",2024,"Lytic","Y"
1,"4E.2.1.1.2","Arthrobacter globiformis​","B2880","B",60,2,3,2e+06,0.00015,"N","globiformis​","Volarius",2024,"Lytic","Y"
1,"4E.2.1.1.2","Arthrobacter pascens​","B2884","D",0,2,3,NA,NA,"N","pascens​","Volarius",2024,"Lytic","Y"
1,"4E.2.1.1.2","Arthrobacter globiformis​","B24025","F",45,2,3,1500000,0.000113,"N","globiformis​","Volarius",2024,"Lytic","Y"
1,"4E.2.1.1.2","Arthrobacter oryzae​","B24478","G",0,2,3,NA,NA,"N","oryzae​","Volarius",2024,"Lytic","Y"
1,"4E.2.1.1.2","Arthrobacter humicola​","B24479","H",0,2,3,NA,NA,"N","humicola​","Volarius",2024,"Lytic","Y"
1,"4E.2.1.1.2","Arthrobacter globiformis​","B2979","TARGET",40,6,3,1.33e+10,NA,"N","globiformis​","Volarius",2024,"Lytic","Y"
1,"33E.2.1.1","Arthrobacter globiformis​","B2880","B",4,6,3,1.33e+09,0.08,"N","globiformis​","Atlantica",2024,"Temperate","Y"
1,"33E.2.1.1","Arthrobacter pascens​","B2884","D",0,2,3,NA,NA,"N","pascens​","Atlantica",2024,"Temperate","Y"
1,"33E.2.1.1","Arthrobacter globiformis​","B24025","F",4,7,3,1.33e+10,0.8,"N","globiformis​","Atlantica",2024,"Temperate","Y"
1,"33E.2.1.1","Arthrobacter oryzae​","B24478","G",2,2,3,66700,4e-06,"N","oryzae​","Atlantica",2024,"Temperate","Y"
